dealership_employee_id,dealership_id,employee_id
1,122,731
2,872,12
3,45,655
4,544,208
5,544,52
6,111,279
7,138,218
8,547,516
9,806,776
10,680,751
11,273,393
12,233,470
13,732,934
14,849,276
15,830,54
16,818,99
17,20,729
18,513,422
19,470,916
20,196,171
21,775,42
22,70,714
23,712,437
24,896,778
25,621,660
26,101,40
27,210,107
28,19,528
29,870,47
30,11,28
31,777,758
32,167,357
33,86,339
34,295,178
35,657,266
36,181,144
37,866,225
38,714,612
39,456,477
40,136,33
41,19,203
42,355,630
43,579,847
44,770,976
45,986,797
46,566,801
47,632,542
48,129,64
49,55,512
50,331,502
51,134,566
52,740,985
53,557,929
54,467,255
55,838,467
56,793,829
57,319,149
58,797,347
59,695,307
60,472,833
61,189,168
62,733,642
63,724,2
64,476,747
65,88,159
66,501,772
67,366,212
68,552,683
69,743,946
70,503,636
71,579,753
72,887,678
73,577,725
74,970,729
75,353,432
76,267,12
77,997,782
78,549,268
79,744,9
80,303,792
81,177,914
82,78,979
83,128,122
84,699,525
85,807,248
86,607,899
87,741,421
88,778,283
89,217,13
90,49,255
91,991,976
92,372,843
93,856,989
94,64,57
95,207,838
96,807,959
97,956,248
98,360,129
99,937,684
100,161,689
101,827,623
102,400,366
103,688,776
104,696,949
105,689,813
106,628,616
107,274,322
108,113,257
109,522,422
110,451,587
111,616,209
112,871,376
113,124,715
114,332,694
115,303,17
116,109,156
117,251,352
118,394,701
119,592,17
120,830,658
121,541,73
122,110,521
123,824,399
124,688,353
125,142,566
126,806,910
127,298,155
128,815,271
129,734,412
130,324,100
131,568,498
132,972,619
133,261,937
134,497,232
135,498,616
136,579,620
137,829,406
138,110,804
139,353,203
140,796,977
141,294,18
142,317,458
143,792,82
144,360,150
145,861,958
146,376,396
147,236,527
148,371,111
149,579,235
150,802,718
151,585,640
152,914,579
153,58,386
154,531,211
155,960,771
156,903,651
157,782,446
158,124,65
159,743,579
160,769,748
161,733,664
162,884,701
163,641,556
164,585,281
165,943,96
166,119,687
167,520,879
168,534,314
169,163,591
170,158,482
171,753,610
172,777,393
173,740,754
174,843,100
175,417,554
176,874,424
177,649,521
178,211,605
179,572,545
180,417,187
181,345,593
182,257,945
183,325,676
184,405,779
185,199,155
186,773,109
187,170,608
