dealership_id,dealership_name,phone,city,state,website,tax_id
1,Gell Autos of Virginia,804-826-4657,Richmond,Virginia,http://www.gellautosofvirginia.com,bv-832-2h-se8w
2,Huguet Autos of Minnesota,612-307-1261,Minneapolis,Minnesota,http://www.huguetautosofminnesota.com,ub-594-qc-2hlp
3,Rutherforth Autos of New York,718-544-3706,Bronx,New York,http://www.rutherforthautosofnewyork.com,oz-423-9y-suhz
4,Nicklen Autos of Maryland,443-166-7999,Baltimore,Maryland,http://www.nicklenautosofmaryland.com,go-677-ia-08gb
5,Geard Autos of New Jersey,609-634-2385,Trenton,New Jersey,http://www.geardautosofnewjersey.com,ee-692-zp-6lm4
6,Trewhela Autos of District of Columbia,202-853-9394,Washington,District of Columbia,http://www.trewhelaautosofdistrictofcolumbia.com,xe-138-6j-wno8
7,Bellefant Autos of Minnesota,952-997-1842,Young America,Minnesota,http://www.bellefantautosofminnesota.com,lk-313-yq-eip8
8,Poser Autos of North Carolina,336-619-2489,Winston Salem,North Carolina,http://www.poserautosofnorthcarolina.com,ul-689-yd-w89r
9,Gabbatiss Autos of Alabama,205-314-2168,Tuscaloosa,Alabama,http://www.gabbatissautosofalabama.com,qe-696-fu-s1x6
10,De Mattia Autos of Texas,713-689-9725,Houston,Texas,http://www.demattiaautosoftexas.com,ar-708-hd-2pfy
11,Belward Autos of Minnesota,507-720-1558,Rochester,Minnesota,http://www.belwardautosofminnesota.com,of-163-q3-352c
12,Campos Autos of Texas,281-945-1535,Houston,Texas,http://www.camposautosoftexas.com,db-870-qz-0kug
13,Blewitt Autos of Texas,817-781-5902,Arlington,Texas,http://www.blewittautosoftexas.com,dn-461-ad-ilub
14,Dinsell Autos of Michigan,517-937-5838,Kalamazoo,Michigan,http://www.dinsellautosofmichigan.com,ke-796-yp-9phr
15,Speir Autos of Massachusetts,413-358-2250,Springfield,Massachusetts,http://www.speirautosofmassachusetts.com,fc-155-8e-0jd5
16,Pheasant Autos of Nevada,702-311-7650,Las Vegas,Nevada,http://www.pheasantautosofnevada.com,uf-298-o8-3jdo
17,Gniewosz Autos of Oklahoma,918-420-3008,Tulsa,Oklahoma,http://www.gniewoszautosofoklahoma.com,gf-414-6l-i1yo
18,Meech Autos of Texas,972-764-2178,Dallas,Texas,http://www.meechautosoftexas.com,ly-767-0k-ptox
19,Elderfield Autos of Alabama,256-403-2183,Gadsden,Alabama,http://www.elderfieldautosofalabama.com,dd-889-ma-hy6a
20,Bour Autos of Virginia,757-400-6190,Norfolk,Virginia,http://www.bourautosofvirginia.com,rv-759-3j-oe1n
21,Budik Autos of Virginia,703-370-1102,Arlington,Virginia,http://www.budikautosofvirginia.com,vo-713-7v-u1px
22,MacAne Autos of New York,718-634-6498,Brooklyn,New York,http://www.macaneautosofnewyork.com,fk-287-n8-nag6
23,Mildner Autos of Georgia,404-377-8012,Atlanta,Georgia,http://www.mildnerautosofgeorgia.com,le-801-fo-63g3
24,Quarterman Autos of Texas,832-332-3319,Houston,Texas,http://www.quartermanautosoftexas.com,fc-680-jl-s0i7
25,Firbanks Autos of Nebraska,402-346-4748,Lincoln,Nebraska,http://www.firbanksautosofnebraska.com,io-918-we-ngcr
26,Pickett Autos of Pennsylvania,570-633-5428,Scranton,Pennsylvania,http://www.pickettautosofpennsylvania.com,xs-165-dz-prtz
27,Neylon Autos of Florida,904-524-8886,Jacksonville,Florida,http://www.neylonautosofflorida.com,uv-645-9z-hqmh
28,Stuckford Autos of Connecticut,860-219-2778,Hartford,Connecticut,http://www.stuckfordautosofconnecticut.com,lh-844-1c-y85p
29,Glasner Autos of Alabama,251-403-3553,Mobile,Alabama,http://www.glasnerautosofalabama.com,ax-658-l2-3r8w
30,Haywood Autos of Nevada,702-888-3488,Las Vegas,Nevada,http://www.haywoodautosofnevada.com,hw-713-53-zidm
31,Keyzor Autos of Connecticut,203-230-9956,Waterbury,Connecticut,http://www.keyzorautosofconnecticut.com,jl-030-ti-i5rm
32,Gammill Autos of Florida,813-940-1246,Tampa,Florida,http://www.gammillautosofflorida.com,ih-435-e1-4fnu
33,Fortin Autos of New York,917-240-8195,Jamaica,New York,http://www.fortinautosofnewyork.com,xu-242-y6-0omh
34,Streatfield Autos of West Virginia,304-992-4332,Huntington,West Virginia,http://www.streatfieldautosofwestvirginia.com,qk-457-zz-a06o
35,Padkin Autos of New York,585-189-6126,Rochester,New York,http://www.padkinautosofnewyork.com,ta-905-2t-d8sx
36,Menauteau Autos of Minnesota,612-351-5514,Minneapolis,Minnesota,http://www.menauteauautosofminnesota.com,na-502-gs-4nby
37,Razzell Autos of Connecticut,203-577-9491,Fairfield,Connecticut,http://www.razzellautosofconnecticut.com,go-249-nw-dobs
38,Glason Autos of Tennessee,423-895-9709,Chattanooga,Tennessee,http://www.glasonautosoftennessee.com,ws-374-92-xx7z
39,Piccard Autos of Minnesota,651-143-9487,Saint Paul,Minnesota,http://www.piccardautosofminnesota.com,pk-379-rl-9vke
40,Liversidge Autos of Indiana,812-960-9338,Jeffersonville,Indiana,http://www.liversidgeautosofindiana.com,wl-784-3m-cnkn
41,Dollard Autos of Washington,253-629-1550,Tacoma,Washington,http://www.dollardautosofwashington.com,mu-396-ij-gli5
42,Odell Autos of Virginia,804-412-3877,Richmond,Virginia,http://www.odellautosofvirginia.com,ev-398-c3-k8hm
43,Allmark Autos of Wisconsin,920-623-6692,Appleton,Wisconsin,http://www.allmarkautosofwisconsin.com,bi-834-i3-ebpq
44,Borgesio Autos of Florida,305-511-7774,Miami,Florida,http://www.borgesioautosofflorida.com,fx-676-or-7i92
45,MacNeice Autos of California,626-355-0978,Pasadena,California,http://www.macneiceautosofcalifornia.com,hc-549-re-vprg
46,Beaty Autos of Oklahoma,918-300-7673,Tulsa,Oklahoma,http://www.beatyautosofoklahoma.com,xb-482-r2-ywsx
47,Cremins Autos of Texas,915-810-3463,El Paso,Texas,http://www.creminsautosoftexas.com,qg-848-gf-253b
48,Blackboro Autos of New Mexico,505-729-5840,Albuquerque,New Mexico,http://www.blackboroautosofnewmexico.com,bu-050-um-9exf
49,O' Dornan Autos of Virginia,571-808-5468,Arlington,Virginia,http://www.o'dornanautosofvirginia.com,iu-738-gv-bbsn
50,Sollowaye Autos of New York,212-928-8151,Jamaica,New York,http://www.sollowayeautosofnewyork.com,ls-111-qq-ij05
51,Upfold Autos of Washington,509-545-9258,Spokane,Washington,http://www.upfoldautosofwashington.com,ex-696-zv-1kwm
52,Harkus Autos of California,213-917-2985,Los Angeles,California,http://www.harkusautosofcalifornia.com,ua-226-en-ysh5
53,Lared Autos of Iowa,515-503-7551,Des Moines,Iowa,http://www.laredautosofiowa.com,sp-847-bs-dvi5
54,Litherborough Autos of Texas,713-398-8596,Houston,Texas,http://www.litherboroughautosoftexas.com,iv-065-3l-eg3u
55,Risebarer Autos of Minnesota,612-200-2879,Saint Paul,Minnesota,http://www.risebarerautosofminnesota.com,pf-398-6c-1pjh
56,Gonnin Autos of California,714-916-4432,Irvine,California,http://www.gonninautosofcalifornia.com,os-914-gu-3iij
57,Woan Autos of Florida,239-734-1176,Naples,Florida,http://www.woanautosofflorida.com,ex-599-96-y9hx
58,Smitten Autos of New York,212-979-1768,New York City,New York,http://www.smittenautosofnewyork.com,jh-792-7g-slr1
59,Hollibone Autos of New York,212-252-1910,New York City,New York,http://www.holliboneautosofnewyork.com,pd-465-ns-h4qi
60,Manion Autos of California,818-513-8294,Glendale,California,http://www.manionautosofcalifornia.com,ke-055-bf-y6h4
61,Chetham Autos of Texas,512-384-6716,Austin,Texas,http://www.chethamautosoftexas.com,xc-378-q1-qj6s
62,Benfield Autos of California,408-482-6566,San Jose,California,http://www.benfieldautosofcalifornia.com,ve-108-l4-637v
63,Pehrsson Autos of Texas,915-616-8949,El Paso,Texas,http://www.pehrssonautosoftexas.com,zu-044-3j-316v
64,Strass Autos of Kentucky,502-127-0558,Louisville,Kentucky,http://www.strassautosofkentucky.com,xz-464-hi-m2zp
65,Pyper Autos of Illinois,309-143-9787,Peoria,Illinois,http://www.pyperautosofillinois.com,ob-120-ih-cdxc
